Equipement,Désignation,Fabricant,Zone de tri,Poste technique,Désignation,Année constr.,Cat. véhicule,Date acquis.,Date mise serv.,Poste respons.,Type de propul.,Type pétrole,Statut util.,Fin de validité,Modex - Catégorie cy,PowerBI - Catégorie
10536,INTERNATIONAL 4300 (URGENCE),INTERNATIONAL,CAMION INTERVENTION URGENCE,V-07-240,B.A. MTL Ouest (Lasalle),2002,V.CAMION L,2002-07-15,2002-09-09,VI.LO.DH,AR,DIESEL,SERV,,Camion unite d'intervention,Camion unite d'intervention
10537,INTERNATIONAL 4300 (URGENCE),INTERNATIONAL,CAMION INTERVENTION URGENCE,V-02-230,B.A. Laurentide (Blainville),2002,V.CAMION L,2000-11-13,2002-07-15,VI.LO.DH,AR,DIESEL,SERV,,Camion unite d'intervention,Camion unite d'intervention
10538,INTERNATIONAL 4300 (URGENCE),INTERNATIONAL,,V-28-320-001,Sherbrooke,2002,V.CAMION L,2000-11-13,2002-06-21,VE.ES,AR,DIESEL,SERV,,Camion unite d'intervention,Camion unite d'intervention
10539,INTERNATIONAL 4300 (URGENCE),INTERNATIONAL,CAMION INTERVENTION URGENCE,V-06-223,Tech. Acquisition / Exploitation 2,2002,V.CAMION L,2002-04-10,2002-11-14,VI.LO.DH,AR,DIESEL,SERV,,Camion unite d'intervention,Camion unite d'intervention
10576,HONDA TRX45051 (TOUT-TERRAIN) (0606),HONDA,VENDU - ENCANS RITCHIES BROS.,,,2001,V.TOUT-TER,2012-03-15,2001-10-01,VE.MECAN,,ESSENCE,VEND,2012-08-17,Tout-terrain,Tout-terrain
10578,CHEVROLET EXPRESS 3500,CHEVROLET,,,,2002,V.FOURG,2002-04-12,2002-07-30,VI.MECAN,AR,ESSENCE,VEND,2003-03-31,Fourgonette,Fourgonette
10579,CHEVROLET EXPRESS 3500,CHEVROLET,,,,2002,V.FOURG,2002-04-12,2002-08-05,VI.MECAN,AR,ESSENCE,VEND,2003-03-31,Fourgonette,Fourgonette
10580,CHEVROLET EXPRESS 3500,CHEVROLET,,,,2002,V.FOURG,2002-04-12,2002-07-30,VI.MECAN,AR,ESSENCE,VEND,2003-03-31,Fourgonette,Fourgonette
10581,CHEVROLET EXPRESS 3500,CHEVROLET,,,,2002,V.FOURG,2002-04-12,2002-06-13,VI.MECAN,AR,ESSENCE,VEND,2003-03-31,Fourgonette,Fourgonette
10582,CHEVROLET EXPRESS 3500,CHEVROLET,,,,2002,V.FOURG,2002-04-12,2002-07-30,,AR,ESSENCE,VEND,2003-03-31,Fourgonette,Fourgonette
10583,CHEVROLET EXPRESS 3500,CHEVROLET,,,,2002,V.FOURG,2002-04-12,2002-08-23,VI.MECAN,AR,ESSENCE,VEND,2003-03-31,Fourgonette,Fourgonette
10584,CHEVROLET EXPRESS 3500,CHEVROLET,,,,2002,V.FOURG,2002-04-12,2002-06-25,VI.MECAN,AR,ESSENCE,VEND,2003-03-31,Fourgonette,Fourgonette
10585,CHEVROLET EXPRESS 3500,CHEVROLET,VÉHICULE EN REMISAGE (ENCAN),,,2002,V.FOURG,2002-04-12,2003-03-28,VE.MECAN,AR,ESSENCE,VEND,2009-01-13,Fourgonette,Fourgonette
10586,CHEVROLET EXPRESS 3500,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2002-04-12,2003-03-26,VI.MECAN,AR,ESSENCE,VEND,2011-09-07,Fourgonette,Fourgonette
10588,CHEVROLET EXPRESS 3500,CHEVROLET,,,,2002,V.FOURG,2002-04-12,2003-04-01,VI.MECAN,AR,ESSENCE,VEND,2008-11-13,Fourgonette,Fourgonette
10589,CHEVROLET EXPRESS 3500,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2002-04-12,2002-10-28,VI.MECAN,AR,ESSENCE,VEND,2008-12-01,Fourgonette,Fourgonette
10590,CHEVROLET EXPRESS 3500,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2002-04-12,2003-03-18,,AR,ESSENCE,VEND,2011-12-28,Fourgonette,Fourgonette
10591,CHEVROLET EXPRESS 3500,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2002-04-12,2006-09-05,VE.MECAN,AR,ESSENCE,VEND,2011-12-28,Fourgonette,Fourgonette
10592,CHEVROLET EXPRESS 3500,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2002-04-12,2003-04-01,VI.MECAN,AR,ESSENCE,VEND,2011-12-28,Fourgonette,Fourgonette
10593,CHEVROLET EXPRESS 3500,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2002-04-12,2003-03-28,VI.MECAN,AR,ESSENCE,VEND,2011-09-07,Fourgonette,Fourgonette
10594,CHEVROLET EXPRESS 3500,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2002-04-12,2003-03-25,VI.MECAN,AR,ESSENCE,VEND,2011-12-28,Fourgonette,Fourgonette
10595,CHEVROLET EXPRESS 3500,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2002-04-12,2003-05-26,VI.MECAN,AR,ESSENCE,VEND,2011-12-28,Fourgonette,Fourgonette
10596,CHEVROLET EXPRESS 3500,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2002-04-12,2003-04-16,VE.MECAN,AR,ESSENCE,VEND,2011-12-28,Fourgonette,Fourgonette
10597,CHEVROLET EXPRESS 3500,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2002-04-12,2002-11-11,VI.MECAN,AR,ESSENCE,VEND,2008-12-01,Fourgonette,Fourgonette
10598,CHEVROLET EXPRESS 3500,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2002-04-12,2003-04-01,VI.MECAN,AR,ESSENCE,VEND,2011-12-28,Fourgonette,Fourgonette
10599,CHEVROLET EXPRESS 3500,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2002-04-12,2003-04-01,VI.MECAN,AR,ESSENCE,VEND,2011-09-07,Fourgonette,Fourgonette
10600,CHEVROLET EXPRESS 3500,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2002-04-12,2002-07-15,VI.MECAN,AR,ESSENCE,VEND,2011-12-28,Fourgonette,Fourgonette
10602,CHEVROLET EXPRESS 3500,CHEVROLET,,,,2002,V.FOURG,2002-04-12,2002-08-02,VI.MECAN,AR,ESSENCE,VEND,2003-03-31,Fourgonette,Fourgonette
10604,CHEVROLET EXPRESS 3500,CHEVROLET,,,,2002,V.FOURG,2002-04-12,2002-07-15,VI.MECAN,AR,ESSENCE,VEND,2003-03-31,Fourgonette,Fourgonette
10605,CHEVROLET EXPRESS 3500,CHEVROLET,VÉHICULE EN REMISAGE (ENCAN),,,2002,V.FOURG,2002-04-12,2002-07-15,VI.MECAN,AR,ESSENCE,VEND,2003-03-31,Fourgonette,Fourgonette
10606,CHEVROLET EXPRESS 3500,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2002-04-12,2002-06-13,VI.MECAN,AR,ESSENCE,VEND,2008-12-01,Fourgonette,Fourgonette
10607,CHEVROLET EXPRESS 3500,CHEVROLET,,,,2002,V.FOURG,2002-04-12,2002-06-13,VI.MECAN,AR,ESSENCE,VEND,2003-03-31,Fourgonette,Fourgonette
10608,CHEVROLET EXPRESS 3500,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2002-05-17,2002-08-13,VI.MECAN,AR,ESSENCE,VEND,2008-12-01,Fourgonette,Fourgonette
10609,CHEVROLET EXPRESS 3500,CHEVROLET,,,,2002,V.FOURG,2002-04-12,2003-03-27,VE.MECAN,AR,ESSENCE,VEND,2008-08-14,Fourgonette,Fourgonette
10610,CHEVROLET EXPRESS 3500,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2002-04-12,2003-02-07,VE.MECAN,AR,ESSENCE,VEND,2008-12-01,Fourgonette,Fourgonette
10611,CHEVROLET EXPRESS 3500,CHEVROLET,VÉHICULE EN REMISAGE (ENCAN),,,2002,V.FOURG,2002-04-12,2002-04-15,VI.MECAN,AR,ESSENCE,VEND,2002-03-31,Fourgonette,Fourgonette
10612,CHEVROLET EXPRESS 3500,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2002-07-04,2002-07-24,VI.MECAN,AR,ESSENCE,VEND,2008-12-01,Fourgonette,Fourgonette
10613,CHEVROLET EXPRESS 3500,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2002-04-12,2002-07-30,VI.MECAN,AR,ESSENCE,VEND,2008-12-01,Fourgonette,Fourgonette
10614,CHEVROLET EXPRESS 3500,CHEVROLET,,,,2002,V.FOURG,2002-04-12,2002-07-05,VI.MECAN,AR,ESSENCE,VEND,2003-03-31,Fourgonette,Fourgonette
10639,CHEVROLET EXPRESS 3500,CHEVROLET,,,,2002,V.FOURG,2002-05-30,2002-07-15,VI.MECAN,AR,ESSENCE,VEND,2003-03-31,Fourgonette,Fourgonette
10640,CHEVROLET EXPRESS 3500,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2002-04-12,2002-08-07,VI.MECAN,AR,ESSENCE,VEND,2008-12-01,Fourgonette,Fourgonette
10641,CHEVROLET EXPRESS 3500,CHEVROLET,,,,2002,V.FOURG,2002-05-30,2002-08-23,VE.MECAN,AR,ESSENCE,VEND,2003-03-31,Fourgonette,Fourgonette
10642,CHEVROLET EXPRESS 3500,CHEVROLET,VÉHICULE EN REMISAGE (ENCAN),,,2002,V.FOURG,2002-05-30,2002-08-23,VI.MECAN,AR,ESSENCE,VEND,2003-03-31,Fourgonette,Fourgonette
10643,CHEVROLET EXPRESS 3500,CHEVROLET,,,,2002,V.FOURG,2002-05-30,2002-07-30,VI.MECAN,AR,ESSENCE,VEND,2003-03-31,Fourgonette,Fourgonette
10644,CHEVROLET EXPRESS 3500,CHEVROLET,,,,2002,V.FOURG,2002-05-30,2002-08-30,VI.MECAN,AR,ESSENCE,VEND,2003-03-31,Fourgonette,Fourgonette
10645,CHEVROLET EXPRESS 3500,CHEVROLET,,,,2002,V.FOURG,2002-05-31,2003-04-04,VI.MECAN,AR,ESSENCE,VEND,2008-07-23,Fourgonette,Fourgonette
10646,CHEVROLET EXPRESS 3500,CHEVROLET,VÉHICULE EN REMISAGE (ENCAN),,,2002,V.FOURG,2002-09-13,2002-05-15,VI.MECAN,AR,ESSENCE,VEND,2003-03-31,Fourgonette,Fourgonette
10647,CHEVROLET EXPRESS 3500,CHEVROLET,,,,2002,V.FOURG,2002-05-31,2002-07-30,,AR,ESSENCE,VEND,2003-03-31,Fourgonette,Fourgonette
10648,CHEVROLET EXPRESS 3500,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2002-05-31,2003-03-12,VI.MECAN,AR,ESSENCE,VEND,2008-12-01,Fourgonette,Fourgonette
10649,CHEVROLET EXPRESS 3500,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2002-05-31,2003-03-24,,AR,ESSENCE,VEND,2011-12-28,Fourgonette,Fourgonette
10650,CHEVROLET EXPRESS 3500,CHEVROLET,VÉHICULE EN REMISAGE (ENCAN),,,2002,V.FOURG,2002-05-31,2003-03-18,,AR,ESSENCE,VEND,2008-10-29,Fourgonette,Fourgonette
10651,CHEVROLET EXPRESS 3500,CHEVROLET,VENDU - ENCANS RITCHIES BROS.,,,2002,V.FOURG,2002-05-31,2003-03-27,,AR,ESSENCE,VEND,2008-12-01,Fourgonette,Fourgonette
10652,CHEVROLET EXPRESS 3500,CHEVROLET,,,,2002,V.FOURG,2002-05-31,2003-03-18,,AR,ESSENCE,VEND,2008-04-16,Fourgonette,Fourgonette
10653,CHEVROLET EXPRESS 3500,CHEVROLET,,,,2002,V.FOURG,2002-08-01,2002-11-11,,AR,ESSENCE,VEND,2003-03-31,Fourgonette,Fourgonette
10654,CHEVROLET EXPRESS 3500,CHEVROLET,,,,2002,V.FOURG,2002-05-31,2003-03-20,VE.MECAN,AR,ESSENCE,VEND,2008-03-13,Fourgonette,Fourgonette
