,Entretien
221,VÉRIFIER - COMPOSANTE MAJEURE DU MOTEUR
222,RÉPARER - CHASSIS PIÈCE CARROSSERIE
223,REMPLACER - AIR DRYER,AJUSTER - PNEU ROULEMENT DE ROUE (bearing de roue) ROUE,AJUSTER - RÉGLEUR (Slack ajuster),RÉPARER - FILAGE ÉLECTRIQUE
224,RECHERCHER PANNE (diagnostic) - FILAGE ÉLECTRIQUE
225,RECHERCHER PANNE (diagnostic) - COMPRESSEUR
226,SURVOLTER - BATTERIE
227,RÉPARER - TRANSMISSION ARBRE D'ENTRAÎNEMENT (Drive shaft) BOÎTE DE TRANSFERT
228,RÉPARER - FILAGE ÉLECTRIQUE,RÉPARER - VANAIR
229,RECHERCHER PANNE (diagnostic) - COMPRESSEUR
230,RÉPARER - COMPRESSEUR
231,REMPLACER - COMPOSANTE MAJEURE DU MOTEUR,RÉPARER - RÉGLEUR (Slack ajuster)
232,REMPLACER - AIR DRYER,RÉPARER - CHASSIS PIÈCE CARROSSERIE
233,RÉPARER - CHASSIS PIÈCE CARROSSERIE,RÉPARER - BATTERIE,RÉPARER - CHASSIS PIÈCE CARROSSERIE,VÉRIFIER - FUITE HUILE
234,RÉPARER - FILAGE ÉLECTRIQUE
235,DÉBOSSELER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
236,RÉPARER - BOYAUX
237,MODIFIER - AJUSTEMENT D'USAGE,MODIFIER - AJUSTEMENT D'USAGE
238,TOURNER / MACHINER / FABRIQUER - AJUSTEMENT D'USAGE
239,RÉPARER - LUMIÈRE DE JOUR (Day running light)
240,INSPECTER VISUELLEMENT - ESPAR
241,REMPLACER - BATTERIE
242,REMPLACER - PNEU PNEU ROUE,REMPLACER - PNEU PNEU ROUE,REMPLACER - SABOTS
243,RÉPARER - ALTERNATEUR,RÉPARER - CHASSIS PIÈCE CARROSSERIE,RÉPARER - BATTERIE,AJUSTER - RÉGLEUR (Slack ajuster)
244,VÉRIFIER - INJECTEUR
245,RÉPARER - CODE DÉFAUT TRANSMISSION (Fault code)
246,REMPLACER - AIR DRYER,AJUSTER - RÉGLEUR (Slack ajuster),REMPLACER - Programme Entretien Préventif,REMPLACER - AMORTISSEUR
247,VÉRIFIER - CATALYSEUR
248,RECHERCHER PANNE (diagnostic) - TAMBOURS
249,RÉPARER - ALTERNATEUR
250,REMPLACER - CAPTEUR,REMPLACER - MISE AU POINT (Tune -up),RÉPARER - BATTERIE,RÉPARER - CHASSIS PIÈCE CARROSSERIE,REMPLACER - CAPTEUR,AJUSTER - PNEU PNEU ROUE
251,RÉPARER - SOUPAPE À AIR
252,AJUSTER - Programme Entretien Préventif,REMPLACER - Programme Entretien Préventif,AJUSTER - RÉGLEUR (Slack ajuster),REMPLACER - Programme Entretien Préventif,REMPLACER - Programme Entretien Préventif
253,VÉRIFIER - SABOTS
254,REMPLACER - PNEU PNEU ROUE,REMPLACER - FILAGE ÉLECTRIQUE,RÉPARER - FILAGE ÉLECTRIQUE
255,RÉPARER - CODE DÉFAUT MOTEUR (Fault code)
256,REMPLACER - AJUSTEMENT D'USAGE
257,RÉPARER - TOILE DE BENNE
258,TOURNER / MACHINER / FABRIQUER - FILAGE ÉLECTRIQUE
259,RECHERCHER PANNE (diagnostic) - VANAIR
260,REMPLACER - AJUSTEMENT D'USAGE
261,RÉPARER - ESPAR
262,REMPLACER - CHASSIS PIÈCE CARROSSERIE
263,RÉPARER - FILAGE ÉLECTRIQUE
264,RÉPARER - AJUSTEMENT D'USAGE
265,RÉPARER - ESPAR
266,VÉRIFIER - Programme Entretien Préventif
267,VÉRIFIER - COMPRESSEUR
268,VÉRIFIER - POMPE HYDRAULIQUE SYSTÈME ASSISTÉ
269,REMPLACER - LIQUIDE REFROIDISSEMENT (entret.)+FILTRE,REMPLACER - CARBURANT+ FILTRE
